country,year,GDP per capita
Cote d'Ivoire,2004,3410
Cote d'Ivoire,2005,3380
Cote d'Ivoire,2006,3400
Cote d'Ivoire,2007,3370
Cote d'Ivoire,2008,3460
Cote d'Ivoire,2009,3510
Cote d'Ivoire,2010,3670
Cameroon,1990,3230
Cameroon,1991,3040
Cameroon,1992,2890
Cameroon,1993,2630
Cameroon,1994,2590
Cameroon,1995,2610
Cameroon,1996,2670
Cameroon,1997,2730
Cameroon,1998,2800
Cameroon,1999,2860
Cameroon,2000,2910
Cameroon,2001,2960
Cameroon,2002,3020
Cameroon,2003,3100
Cameroon,2004,3230
Cameroon,2005,3220
Cameroon,2006,3260
Cameroon,2007,3310
Cameroon,2008,3310
Cameroon,2009,3300
Cameroon,2010,3300
"Congo, Dem. Rep.",1990,1540
"Congo, Dem. Rep.",1991,1390
"Congo, Dem. Rep.",1992,1220
"Congo, Dem. Rep.",1993,1030
"Congo, Dem. Rep.",1994,955
"Congo, Dem. Rep.",1995,936
"Congo, Dem. Rep.",1996,916
"Congo, Dem. Rep.",1997,855
"Congo, Dem. Rep.",1998,826
"Congo, Dem. Rep.",1999,774
"Congo, Dem. Rep.",2000,704
"Congo, Dem. Rep.",2001,673
"Congo, Dem. Rep.",2002,676
"Congo, Dem. Rep.",2003,697
"Congo, Dem. Rep.",2004,725
"Congo, Dem. Rep.",2005,749
"Congo, Dem. Rep.",2006,767
"Congo, Dem. Rep.",2007,791
"Congo, Dem. Rep.",2008,815
"Congo, Dem. Rep.",2009,812
"Congo, Dem. Rep.",2010,842
"Congo, Rep.",1990,5080
"Congo, Rep.",1991,5090
"Congo, Rep.",1992,5100
"Congo, Rep.",1993,4930
"Congo, Rep.",1994,4540
"Congo, Rep.",1995,4610
"Congo, Rep.",1996,4710
"Congo, Rep.",1997,4570
"Congo, Rep.",1998,4650
"Congo, Rep.",1999,4410
"Congo, Rep.",2000,4570
"Congo, Rep.",2001,4560
"Congo, Rep.",2002,4650
"Congo, Rep.",2003,4550
"Congo, Rep.",2004,4540
"Congo, Rep.",2005,4700
"Congo, Rep.",2006,4860
"Congo, Rep.",2007,4360
"Congo, Rep.",2008,4460
"Congo, Rep.",2009,4750
"Congo, Rep.",2010,4980
Colombia,1990,9020
Colombia,1991,8990
Colombia,1992,9150
Colombia,1993,9430
Colombia,1994,9740
Colombia,1995,10k
Colombia,1996,10k
Colombia,1997,10.1k
Colombia,1998,10000
Colombia,1999,9390
Colombia,2000,9480
Colombia,2001,9450
Colombia,2002,9510
Colombia,2003,9700
Colombia,2004,10k
Colombia,2005,10.3k
Colombia,2006,10.9k
Colombia,2007,11.4k
Colombia,2008,11.6k
Colombia,2009,11.6k
Colombia,2010,11.9k
Comoros,1990,2420
Comoros,1991,2310
Comoros,1992,2480
Comoros,1993,2520
Comoros,1994,2360
Comoros,1995,2420
Comoros,1996,2360
Comoros,1997,2430
Comoros,1998,2430
Comoros,1999,2450
Comoros,2000,2650
Comoros,2001,2680
Comoros,2002,2710
Comoros,2003,2740
Comoros,2004,2760
Comoros,2005,2800
Comoros,2006,2850
Comoros,2007,2840
Comoros,2008,2910
Comoros,2009,2960
Comoros,2010,3030
Cape Verde,1990,1880
Cape Verde,1991,1860
Cape Verde,1992,1970
Cape Verde,1993,2080
Cape Verde,1994,2350
Cape Verde,1995,2580
Cape Verde,1996,2780
Cape Verde,1997,2990
Cape Verde,1998,3270
Cape Verde,1999,3560
Cape Verde,2000,3950
Cape Verde,2001,3980
Cape Verde,2002,4110
Cape Verde,2003,4210
Cape Verde,2004,4540
Cape Verde,2005,4770
Cape Verde,2006,5080
Cape Verde,2007,5740
Cape Verde,2008,6030
Cape Verde,2009,5870
Cape Verde,2010,5860
Costa Rica,1990,10k
Costa Rica,1991,9970
Costa Rica,1992,10.6k
Costa Rica,1993,11.1k
Costa Rica,1994,11.2k
Costa Rica,1995,11.4k
Costa Rica,1996,11.3k
Costa Rica,1997,11.6k
Costa Rica,1998,12.2k
Costa Rica,1999,12.4k
Costa Rica,2000,12.6k
Costa Rica,2001,12.8k
Costa Rica,2002,13k
Costa Rica,2003,13.4k
Costa Rica,2004,13.7k
Costa Rica,2005,14.1k
Costa Rica,2006,14.9k
Costa Rica,2007,15.9k
Costa Rica,2008,16.4k
Costa Rica,2009,16k
Costa Rica,2010,16.7k
Cuba,1990,6550
Cuba,1991,5530
Cuba,1992,4720
Cuba,1993,3690
Cuba,1994,3730
Cuba,1995,3970
Cuba,1996,4520
Cuba,1997,4760
Cuba,1998,4750
Cuba,1999,5040
Cuba,2000,5570
Cuba,2001,5880
Cuba,2002,6070
Cuba,2003,6260
Cuba,2004,6340
Cuba,2005,6550
Cuba,2006,7530
Cuba,2007,7830
Cuba,2008,8350
Cuba,2009,8680
Cuba,2010,9140
Cyprus,1990,24.1k
Cyprus,1991,23.8k
Cyprus,1992,25.5k
Cyprus,1993,25.1k
Cyprus,1994,26.2k
Cyprus,1995,28.1k
Cyprus,1996,28.1k
Cyprus,1997,28.5k
Cyprus,1998,29.9k
Cyprus,1999,31.1k
Cyprus,2000,32.7k
Cyprus,2001,33.6k
Cyprus,2002,34.5k
Cyprus,2003,35.1k
Cyprus,2004,36.4k
Cyprus,2005,37.6k
Cyprus,2006,38.8k
Cyprus,2007,39.9k
Cyprus,2008,40.4k
Cyprus,2009,38.5k
Cyprus,2010,38.4k
Czech Republic,1990,22.4k
Czech Republic,1991,20k
Czech Republic,1992,20k
Czech Republic,1993,20.1k
Czech Republic,1994,20.7k
Czech Republic,1995,22.2k
Czech Republic,1996,23.3k
Czech Republic,1997,23.2k
Czech Republic,1998,23.3k
Czech Republic,1999,23.7k
Czech Republic,2000,24.8k
Czech Republic,2001,25.7k
Czech Republic,2002,26.2k
Czech Republic,2003,27.2k
Czech Republic,2004,28.5k
Czech Republic,2005,30.4k
Czech Republic,2006,32.4k
Czech Republic,2007,34k
Czech Republic,2008,34.6k
Czech Republic,2009,32.8k
Czech Republic,2010,33.5k
Germany,1990,36.3k
Germany,1991,38k
Germany,1992,38.5k
Germany,1993,38k
Germany,1994,38.9k
Germany,1995,39.5k
Germany,1996,39.8k
Germany,1997,40.5k
Germany,1998,41.4k
Germany,1999,42.2k
Germany,2000,43.4k
Germany,2001,44.1k
Germany,2002,43.9k
Germany,2003,43.6k
