country,year,INDICE
Honduras,2002,6800
Honduras,2003,6500
Honduras,2004,5800
Honduras,2005,5100
Honduras,2006,4600
Honduras,2007,4200
Honduras,2008,3700
Honduras,2009,3400
Honduras,2010,3000
Croatia,1990,60
Croatia,1991,60
Croatia,1992,60
Croatia,1993,60
Croatia,1994,60
Croatia,1995,60
Croatia,1996,60
Croatia,1997,60
Croatia,1998,60
Croatia,1999,60
Croatia,2000,60
Croatia,2001,60
Croatia,2002,60
Croatia,2003,60
Croatia,2004,60
Croatia,2005,60
Croatia,2006,60
Croatia,2007,60
Croatia,2008,60
Croatia,2009,60
Croatia,2010,60
Haiti,1990,3900
Haiti,1991,5000
Haiti,1992,6100
Haiti,1993,7300
Haiti,1994,8300
Haiti,1995,9300
Haiti,1996,10k
Haiti,1997,11k
Haiti,1998,11k
Haiti,1999,11k
Haiti,2000,12k
Haiti,2001,12k
Haiti,2002,12k
Haiti,2003,11k
Haiti,2004,11k
Haiti,2005,11k
Haiti,2006,10k
Haiti,2007,8700
Haiti,2008,7600
Haiti,2009,6600
Haiti,2010,5900
Hungary,1990,350
Hungary,1991,350
Hungary,1992,350
Hungary,1993,350
Hungary,1994,350
Hungary,1995,350
Hungary,1996,350
Hungary,1997,350
Hungary,1998,350
Hungary,1999,350
Hungary,2000,350
Hungary,2001,350
Hungary,2002,350
Hungary,2003,350
Hungary,2004,150
